/usr/bin/python3.10 /home/milan/PycharmProjects/0d0p/comb_w_cond.py
solving column for D8
0.018991463499999996 : [0.12441, 0.11922, 0, 0.12048, 0.09798, 0.10087, 0.09481, 0.12314, 0.09206] : {1: 3, 2: 7, 3: 3, 4: 3, 5: 3, 6: 2, 7: 2, 8: 2, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 5, 'W': 5, 'X': 8, 'Y': 6, 'Z': 4}
0.018987867099999996 : [0.12441, 0.11922, 0, 0.12048, 0.09724, 0.10087, 0.09555, 0.12314, 0.09206] : {1: 3, 2: 7, 3: 3, 4: 2, 5: 3, 6: 3, 7: 2, 8: 2, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 5, 'W': 5, 'X': 8, 'Y': 6, 'Z': 6}
0.018983797099999998 : [0.12441, 0.11922, 0, 0.12048, 0.09724, 0.10087, 0.09481, 0.12314, 0.0928] : {1: 3, 2: 7, 3: 3, 4: 2, 5: 3, 6: 2, 7: 2, 8: 3, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 5, 'W': 5, 'X': 8, 'Y': 6, 'Z': 8}
0.0189744795 : [0.12441, 0.11922, 0, 0.12048, 0.09798, 0.09701, 0.09867, 0.12314, 0.09206] : {1: 3, 2: 7, 3: 3, 4: 3, 5: 3, 6: 2, 7: 2, 8: 2, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 5, 'W': 6, 'X': 8, 'Y': 5, 'Z': 4}
0.018974139099999995 : [0.12441, 0.11922, 0, 0.12048, 0.09724, 0.09775, 0.09867, 0.12314, 0.09206] : {1: 3, 2: 7, 3: 3, 4: 2, 5: 4, 6: 2, 7: 2, 8: 2, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 5, 'W': 6, 'X': 8, 'Y': 5, 'Z': 5}
0.0189668131 : [0.12441, 0.11922, 0, 0.12048, 0.09724, 0.09701, 0.09867, 0.12314, 0.0928] : {1: 3, 2: 7, 3: 3, 4: 2, 5: 3, 6: 2, 7: 2, 8: 3, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 5, 'W': 6, 'X': 8, 'Y': 5, 'Z': 8}
0.0189668131 : [0.12441, 0.11922, 0, 0.12048, 0.09724, 0.09701, 0.09867, 0.12314, 0.0928] : {1: 3, 2: 7, 3: 3, 4: 2, 5: 3, 6: 2, 7: 3, 8: 2, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 8, 'S': 8, 'T': 7, 'U': 4, 'V': 5, 'W': 6, 'X': 7, 'Y': 5, 'Z': 7}
0.018964510099999998 : [0.12441, 0.11827, 0, 0.12048, 0.09969, 0.10087, 0.09481, 0.12314, 0.0913] : {1: 3, 2: 6, 3: 3, 4: 4, 5: 3, 6: 2, 7: 2, 8: 2, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 4, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 5, 'W': 5, 'X': 4, 'Y': 6, 'Z': 8}
0.018962880099999996 : [0.12441, 0.11827, 0, 0.12048, 0.09819, 0.10087, 0.09705, 0.12314, 0.09056] : {1: 3, 2: 6, 3: 3, 4: 3, 5: 3, 6: 4, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 4, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 5, 'W': 5, 'X': 6, 'Y': 6, 'Z': 6}
0.018954370099999996 : [0.12441, 0.11827, 0, 0.12048, 0.09819, 0.10087, 0.09631, 0.12314, 0.0913] : {1: 3, 2: 6, 3: 3, 4: 3, 5: 3, 6: 3, 7: 2, 8: 2, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 4, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 5, 'W': 5, 'X': 6, 'Y': 6, 'Z': 8}
