/usr/bin/python3.10 /home/milan/PycharmProjects/0d0p/comb_w_cond.py
solving column for D10
0.012524495100000001 : [0.09907, 0.09413, 0, 0.09859, 0.09372, 0.08712, 0.06823, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 4, 3: 4, 4: 2, 5: 3, 6: 2, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 8, 'X': 2, 'Y': 9, 'Z': 6}
0.012507965100000002 : [0.09907, 0.09263, 0, 0.09859, 0.09372, 0.08862, 0.06823, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 3, 3: 4, 4: 2, 5: 4, 6: 2, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 8, 'X': 5, 'Y': 9, 'Z': 6}
0.012495813500000003 : [0.09981, 0.09263, 0, 0.09859, 0.09372, 0.08712, 0.06899, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 5, 2: 3, 3: 4, 4: 2, 5: 3, 6: 2, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 8, 'X': 6, 'Y': 9, 'Z': 1}
0.012486282300000004 : [0.09907, 0.09337, 0, 0.09859, 0.09372, 0.08712, 0.06899, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 4, 3: 4, 4: 2, 5: 3, 6: 2, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 8, 'X': 6, 'Y': 9, 'Z': 2}
0.012478127500000004 : [0.09907, 0.09263, 0, 0.09859, 0.09372, 0.08786, 0.06899, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 3, 3: 4, 4: 2, 5: 4, 6: 2, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 8, 'X': 6, 'Y': 9, 'Z': 5}
0.012451295100000002 : [0.09907, 0.09263, 0, 0.09859, 0.09372, 0.08712, 0.06973, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 3, 3: 4, 4: 2, 5: 3, 6: 3, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 8, 'X': 6, 'Y': 9, 'Z': 6}
0.012447572300000005 : [0.09907, 0.09263, 0, 0.08955, 0.09372, 0.0969, 0.06899, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 3, 3: 4, 4: 2, 5: 4, 6: 2, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 5, 'W': 8, 'X': 6, 'Y': 9, 'Z': 3}
0.012418238700000004 : [0.09907, 0.09263, 0, 0.08881, 0.09372, 0.0969, 0.06973, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 3, 3: 3, 4: 2, 5: 4, 6: 3, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 5, 'W': 8, 'X': 6, 'Y': 9, 'Z': 6}
0.012154214300000004 : [0.09981, 0.09413, 0, 0.08881, 0.09372, 0.08712, 0.07727, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 5, 2: 4, 3: 3, 4: 2, 5: 3, 6: 2, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 6, 'W': 8, 'X': 2, 'Y': 9, 'Z': 1}
0.012146903100000004 : [0.09907, 0.09487, 0, 0.08881, 0.09372, 0.08712, 0.07727, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 5, 3: 3, 4: 2, 5: 3, 6: 2, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 6, 'W': 8, 'X': 2, 'Y': 9, 'Z': 2}
0.012139029500000004 : [0.09907, 0.09413, 0, 0.08955, 0.09372, 0.08712, 0.07727, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 4, 3: 4, 4: 2, 5: 3, 6: 2, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 6, 'W': 8, 'X': 2, 'Y': 9, 'Z': 3}
0.012136528300000005 : [0.09907, 0.09413, 0, 0.08881, 0.09372, 0.08786, 0.07727, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 4, 3: 3, 4: 2, 5: 4, 6: 2, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 6, 'W': 8, 'X': 2, 'Y': 9, 'Z': 5}
0.012121950300000003 : [0.09907, 0.09413, 0, 0.08881, 0.09372, 0.08712, 0.07801, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 4, 3: 3, 4: 2, 5: 3, 6: 3, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 6, 'W': 8, 'X': 2, 'Y': 9, 'Z': 6}
0.012118694300000003 : [0.09907, 0.09413, 0, 0.08881, 0.09372, 0.08712, 0.07727, 0.07581, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 4, 3: 3, 4: 2, 5: 3, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 6, 'W': 8, 'X': 2, 'Y': 9, 'Z': 7}
0.012110490300000004 : [0.09907, 0.09263, 0, 0.09031, 0.09372, 0.08712, 0.07801, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 3, 3: 4, 4: 2, 5: 3, 6: 3, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 6, 'W': 8, 'X': 3, 'Y': 9, 'Z': 6}
0.012107234300000004 : [0.09907, 0.09263, 0, 0.09031, 0.09372, 0.08712, 0.07727, 0.07581, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 3, 3: 4, 4: 2, 5: 3, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 6, 'W': 8, 'X': 3, 'Y': 9, 'Z': 7}
0.012105420300000003 : [0.09907, 0.09263, 0, 0.08881, 0.09372, 0.08862, 0.07801, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 3, 3: 3, 4: 2, 5: 4, 6: 3, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 6, 'W': 8, 'X': 5, 'Y': 9, 'Z': 6}
0.012102164300000003 : [0.09907, 0.09263, 0, 0.08881, 0.09372, 0.08862, 0.07727, 0.07581, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 3, 3: 3, 4: 2, 5: 4, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 6, 'W': 8, 'X': 5, 'Y': 9, 'Z': 7}
0.012098603100000004 : [0.09907, 0.09337, 0, 0.08881, 0.09372, 0.08712, 0.07877, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 4, 3: 3, 4: 2, 5: 3, 6: 3, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 6, 'W': 8, 'X': 6, 'Y': 9, 'Z': 2}
0.012092949500000004 : [0.09907, 0.09263, 0, 0.08955, 0.09372, 0.08712, 0.07877, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 3, 3: 4, 4: 2, 5: 3, 6: 3, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 6, 'W': 8, 'X': 6, 'Y': 9, 'Z': 3}
