/usr/bin/python3.10 /home/milan/PycharmProjects/0d0p/comb_w_cond.py
solving column for D10
0.010228466016703653 : {1: 0.10696, 2: 0.09768, None: 0, 3: 0.09556, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.0972, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 5, 2: 3, 3: 4, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 7, 'W': 8, 'X': 1, 'Y': 9, 'Z': 3}
0.010220331926469158 : {1: 0.10609, 2: 0.0994, None: 0, 3: 0.09471, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.0972, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 5, 2: 4, 3: 3, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 7, 'W': 8, 'X': 2, 'Y': 9, 'Z': 1}
0.010210427410580602 : {1: 0.10524, 2: 0.10024, None: 0, 3: 0.09471, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.0972, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 4, 2: 5, 3: 3, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 7, 'W': 8, 'X': 2, 'Y': 9, 'Z': 2}
0.01020248437725037 : {1: 0.10524, 2: 0.0994, None: 0, 3: 0.09556, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.0972, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 4, 2: 4, 3: 4, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 7, 'W': 8, 'X': 2, 'Y': 9, 'Z': 3}
0.010197318492492809 : {1: 0.10524, 2: 0.09853, None: 0, 3: 0.09643, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.0972, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 4, 2: 4, 3: 4, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 7, 'W': 8, 'X': 3, 'Y': 9, 'Z': 2}
0.010195201644979373 : {1: 0.10524, 2: 0.09768, None: 0, 3: 0.09728, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.0972, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 4, 2: 3, 3: 5, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 7, 'W': 8, 'X': 3, 'Y': 9, 'Z': 3}
0.010193822781002731 : {1: 0.10524, 2: 0.09768, None: 0, 3: 0.09643, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.0972, 8: 0.09646, 9: 0.09509, 10: 0.10374} : {1: 4, 2: 3, 3: 4, 4: 2, 5: 2, 6: 2, 7: 2, 8: 3, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 7, 'W': 8, 'X': 3, 'Y': 9, 'Z': 8}
0.010192929432510822 : {1: 0.10524, 2: 0.09768, None: 0, 3: 0.09643, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.0972, 8: 0.09562, 9: 0.09594, 10: 0.10374} : {1: 4, 2: 3, 3: 4, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 3, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 7, 'W': 8, 'X': 3, 'Y': 9, 'Z': 9}
0.010169634661994133 : {1: 0.1078, 2: 0.09768, None: 0, 3: 0.09471, 4: 0.09737, 5: 0.10189, 6: 0.10434, 7: 0.0972, 8: 0.10018, 9: 0.09509, 10: 0.10374} : {1: 6, 2: 3, 3: 3, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 8, 'V': 7, 'W': 6, 'X': 1, 'Y': 9, 'Z': 1}
0.010153903960288781 : {1: 0.10696, 2: 0.09853, None: 0, 3: 0.09471, 4: 0.09737, 5: 0.10189, 6: 0.10434, 7: 0.0972, 8: 0.10018, 9: 0.09509, 10: 0.10374} : {1: 5, 2: 4, 3: 3, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 8, 'V': 7, 'W': 6, 'X': 1, 'Y': 9, 'Z': 2}
0.010148874019866947 : {1: 0.10696, 2: 0.09768, None: 0, 3: 0.09556, 4: 0.09737, 5: 0.10189, 6: 0.10434, 7: 0.0972, 8: 0.10018, 9: 0.09509, 10: 0.10374} : {1: 5, 2: 3, 3: 4, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 8, 'V': 7, 'W': 6, 'X': 1, 'Y': 9, 'Z': 3}
0.010140739929632452 : {1: 0.10609, 2: 0.0994, None: 0, 3: 0.09471, 4: 0.09737, 5: 0.10189, 6: 0.10434, 7: 0.0972, 8: 0.10018, 9: 0.09509, 10: 0.10374} : {1: 5, 2: 4, 3: 3, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 8, 'V': 7, 'W': 6, 'X': 2, 'Y': 9, 'Z': 1}
0.010130835413743896 : {1: 0.10524, 2: 0.10024, None: 0, 3: 0.09471, 4: 0.09737, 5: 0.10189, 6: 0.10434, 7: 0.0972, 8: 0.10018, 9: 0.09509, 10: 0.10374} : {1: 4, 2: 5, 3: 3, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 8, 'V': 7, 'W': 6, 'X': 2, 'Y': 9, 'Z': 2}
0.010122892380413664 : {1: 0.10524, 2: 0.0994, None: 0, 3: 0.09556, 4: 0.09737, 5: 0.10189, 6: 0.10434, 7: 0.0972, 8: 0.10018, 9: 0.09509, 10: 0.10374} : {1: 4, 2: 4, 3: 4, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 8, 'V': 7, 'W': 6, 'X': 2, 'Y': 9, 'Z': 3}
0.010117726495656103 : {1: 0.10524, 2: 0.09853, None: 0, 3: 0.09643, 4: 0.09737, 5: 0.10189, 6: 0.10434, 7: 0.0972, 8: 0.10018, 9: 0.09509, 10: 0.10374} : {1: 4, 2: 4, 3: 4, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 8, 'V': 7, 'W': 6, 'X': 3, 'Y': 9, 'Z': 2}
0.010115609648142667 : {1: 0.10524, 2: 0.09768, None: 0, 3: 0.09728, 4: 0.09737, 5: 0.10189, 6: 0.10434, 7: 0.0972, 8: 0.10018, 9: 0.09509, 10: 0.10374} : {1: 4, 2: 3, 3: 5, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 8, 'V': 7, 'W': 6, 'X': 3, 'Y': 9, 'Z': 3}
