/usr/bin/python3.10 /home/milan/PycharmProjects/0d0p/comb_w_cond.py
solving column for D8
7.14690999999999e-05 : {1: 0.12594, 2: 0.11993, 3: 0.12702, 4: 0.12843, 5: 0.1292, 7: 0.12239, 6: 0.12314, 8: 0.12394} : {1: 4, 2: 8, 3: 1, 4: 2, 5: 3, 6: 2, 7: 3, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 7, 'P': 5, 'Q': 2, 'R': 6, 'S': 6, 'T': 8, 'U': 7, 'V': 8, 'W': 8, 'X': 2, 'Y': 7, 'Z': 2}
7.14690999999999e-05 : {1: 0.12594, 2: 0.11993, 3: 0.12702, 4: 0.12843, 5: 0.1292, 7: 0.12239, 8: 0.12314, 6: 0.12394} : {1: 4, 2: 8, 3: 1, 4: 2, 5: 3, 6: 3, 7: 3, 8: 2} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 7, 'P': 5, 'Q': 2, 'R': 8, 'S': 8, 'T': 6, 'U': 7, 'V': 6, 'W': 6, 'X': 2, 'Y': 7, 'Z': 2}
7.14690999999999e-05 : {1: 0.12594, 2: 0.11993, 3: 0.12702, 4: 0.12843, 5: 0.1292, 8: 0.12239, 6: 0.12314, 7: 0.12394} : {1: 4, 2: 8, 3: 1, 4: 2, 5: 3, 6: 2, 7: 3, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 8, 'P': 5, 'Q': 2, 'R': 6, 'S': 6, 'T': 7, 'U': 8, 'V': 7, 'W': 7, 'X': 2, 'Y': 8, 'Z': 2}
7.14690999999999e-05 : {1: 0.12594, 2: 0.11993, 3: 0.12702, 4: 0.12843, 5: 0.1292, 8: 0.12239, 7: 0.12314, 6: 0.12394} : {1: 4, 2: 8, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 8, 'P': 5, 'Q': 2, 'R': 7, 'S': 7, 'T': 6, 'U': 8, 'V': 6, 'W': 6, 'X': 2, 'Y': 8, 'Z': 2}
6.243829999999995e-05 : {1: 0.12594, 2: 0.11993, 3: 0.12702, 4: 0.12421, 5: 0.1292, 6: 0.12736, 7: 0.12239, 8: 0.12394} : {1: 4, 2: 8, 3: 1, 4: 2, 5: 3, 6: 2, 7: 3, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 6, 'O': 7, 'P': 5, 'Q': 2, 'R': 6, 'S': 4, 'T': 8, 'U': 7, 'V': 8, 'W': 8, 'X': 2, 'Y': 7, 'Z': 2}
6.243829999999995e-05 : {1: 0.12594, 2: 0.11993, 3: 0.12702, 4: 0.12421, 5: 0.1292, 6: 0.12736, 8: 0.12239, 7: 0.12394} : {1: 4, 2: 8, 3: 1, 4: 2, 5: 3, 6: 2, 7: 3, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 6, 'O': 8, 'P': 5, 'Q': 2, 'R': 6, 'S': 4, 'T': 7, 'U': 8, 'V': 7, 'W': 7, 'X': 2, 'Y': 8, 'Z': 2}
6.243829999999995e-05 : {1: 0.12594, 2: 0.11993, 3: 0.12702, 4: 0.12421, 5: 0.1292, 7: 0.12736, 6: 0.12239, 8: 0.12394} : {1: 4, 2: 8, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 7, 'O': 6, 'P': 5, 'Q': 2, 'R': 7, 'S': 4, 'T': 8, 'U': 6, 'V': 8, 'W': 8, 'X': 2, 'Y': 6, 'Z': 2}
6.243829999999995e-05 : {1: 0.12594, 2: 0.11993, 3: 0.12702, 4: 0.12421, 5: 0.1292, 7: 0.12736, 8: 0.12239, 6: 0.12394} : {1: 4, 2: 8, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 7, 'O': 8, 'P': 5, 'Q': 2, 'R': 7, 'S': 4, 'T': 6, 'U': 8, 'V': 6, 'W': 6, 'X': 2, 'Y': 8, 'Z': 2}
6.243829999999995e-05 : {1: 0.12594, 2: 0.11993, 3: 0.12702, 4: 0.12421, 5: 0.1292, 8: 0.12736, 6: 0.12239, 7: 0.12394} : {1: 4, 2: 8, 3: 1, 4: 2, 5: 3, 6: 3, 7: 3, 8: 2} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 8, 'O': 6, 'P': 5, 'Q': 2, 'R': 8, 'S': 4, 'T': 7, 'U': 6, 'V': 7, 'W': 7, 'X': 2, 'Y': 6, 'Z': 2}
6.243829999999995e-05 : {1: 0.12594, 2: 0.11993, 3: 0.12702, 4: 0.12421, 5: 0.1292, 8: 0.12736, 7: 0.12239, 6: 0.12394} : {1: 4, 2: 8, 3: 1, 4: 2, 5: 3, 6: 3, 7: 3, 8: 2} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 8, 'O': 7, 'P': 5, 'Q': 2, 'R': 8, 'S': 4, 'T': 6, 'U': 7, 'V': 6, 'W': 6, 'X': 2, 'Y': 7, 'Z': 2}
6.196450000000003e-05 : {1: 0.12594, 2: 0.12175, 3: 0.12702, 4: 0.12421, 5: 0.12965, 6: 0.12273, 7: 0.12736, 8: 0.12133} : {1: 4, 2: 6, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 5} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 6, 'N': 7, 'O': 6, 'P': 2, 'Q': 8, 'R': 7, 'S': 4, 'T': 8, 'U': 8, 'V': 2, 'W': 6, 'X': 8, 'Y': 5, 'Z': 8}
6.055950000000006e-05 : {1: 0.12594, 2: 0.12345, 3: 0.12702, 4: 0.12421, 5: 0.1292, 6: 0.12273, 7: 0.12736, 8: 0.12008} : {1: 4, 2: 8, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 6, 'N': 7, 'O': 6, 'P': 5, 'Q': 2, 'R': 7, 'S': 4, 'T': 8, 'U': 2, 'V': 8, 'W': 6, 'X': 2, 'Y': 8, 'Z': 2}
